rank,artist,song,year
500,Kanye West,Stronger',2007
499,The Supremes,Baby Love',1964
498,Townes Van Zandt,Pancho and Lefty',1972
497,Lizzo,Truth Hurts',2017
496,Harry Nilsson,Without You',1971
495,Carly Simon,You're So Vain',1972
494,Cyndi Lauper,Time After Time',1983
493,The Pixies,Where Is My Mind?',1988
492,Miles Davis,So What',1959
491,Guns N' Roses,Welcome to the Jungle',1987
490,Lil Nas X,Old Town Road',2019
489,The Breeders,Cannonball',1993
488,The Weeknd,House of Balloons',2011
487,Solange,Cranes in the Sky',2016
486,Lil Wayne,A Milli',2009
485,Azealia Banks,212',2011
484,Weezer,Buddy Holly',1994
483,The Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch)',1965
482,Lady Gaga,Bad Romance',2009
481,Robert Johnson,Cross Road Blues',1937
480,Biz Markie,Just a Friend',1989
479,Santana,Oye Como Va',1970
478,Juvenile feat. Lil Wayne and Mannie Fresh,Back That Azz Up',1998
477,The Go-Gos,Our Lips Are Sealed',1981
476,Kris Kristofferson,Sunday Mornin' Comin' Down',1970
475,Janet Jackson,Rhythm Nation',1989
474,Curtis Mayfield,Move On Up',1970
473,Tammy Wynette,Stand by Your Man',1968
472,Peter Gabriel,Solsbury Hill',1977
471,The Animals,The House of the Rising Sun',1964
470,Gladys Knight and the Pips,Midnight Train to Georgia',1973
469,Dixie Chicks,Goodbye Earl',2000
468,Mazzy Star,Fade Into You',1993
467,Nirvana,Come as You Are',1991
466,Luther Vandross,Never Too Much',1981
465,Daft Punk feat. Pharrell Williams,Get Lucky',2013
464,Joni Mitchell,Help Me',1974
463,John Lee Hooker,Boom Boom',1962
462,Van Morrison,Into the Mystic',1970
461,Roy Orbison,Crying',1962
460,Steel Pulse,Ku Klux Klan',1978
459,Sade,No Ordinary Love',1992
458,Beck,Loser',1993
457,Bon Jovi,Livin' on a Prayer',1986
456,Lana Del Rey,Summertime Sadness',2012
455,Jefferson Airplane,White Rabbit',1967
454,Sister Nancy,Bam Bam',1982
453,Missy Elliot,The Rain (Supa Dupa Fly)',1997
452,Toto,Africa',1982
451,Migos feat. Lil Uzi Vert,Bad and Boujee',2016
450,Neil Young,Powderfinger',1979
449,Blue Oyster Cult,(Don’t Fear) The Reaper',1976
448,Erykah Badu,Tyrone',1997
447,The Beatles,Help!',1965
446,Bruce Springsteen,Rosalita (Come Out Tonight)',1973
445,T. Rex,Cosmic Dancer',1971
444,50 Cent,In Da Club',2003
443,Fall Out Boy,"Sugar, We’re Goin Down'",2005
442,Motörhead,Ace of Spades',1980
441,Miranda Lambert,The House That Built Me',2010
440,Alicia Keys,If I Ain't Got You',2003
439,Celia Cruz,La Vida Es un Carnaval',1998
438,Megan Thee Stallion feat. Beyoncé,Savage (Remix)',2020
437,Lucinda Williams,Passionate Kisses',1988
436,Carly Rae Jepsen,Call Me Maybe',2012
435,Rush,Limelight',1981
434,Ramones,Sheena Is a Punk Rocker',1977
433,Pet Shop Boys,West End Girls',1984
432,Eddie Cochran,Summertime Blues',1958
431,Prince,Adore',1987
430,Pete Rock and CL Smooth,They Reminisce Over You',1992
429,Queen and David Bowie,Under Pressure',1981
428,Harry Styles,Sign of the Times',2017
427,Sugar Hill Gang,Rapper's Delight',1979
426,Nicki Minaj,Super Bass',2010
425,Muddy Waters,Mannish Boy',1955
424,Blackstreet feat. Dr. Dre and Queen Pen,No Diggity',1996
423,Fiona Apple,Criminal',1996
422,"Craig Mack feat. Notorious B.I.G., LLCoolJ, Busta Rhymes, and Rampage",Flava in Ya Ear (Remix)',1994
421,The Smiths,How Soon Is Now?',1984
420,The Mamas and the Papas,California Dreamin' ',1965
419,Mariah Carey,Fantasy',1995
418,Booker T. and the MGs,Green Onions',1962
417,Mark Ronson feat. Bruno Mars,Uptown Funk',2015
416,Pearl Jam,Alive',1991
415,Depeche Mode,Enjoy the Silence',1990
414,Blondie,Dreaming',1979
413,Them,Gloria',1965
412,Neneh Cherry,Buffalo Stance',1988
411,Wilco,Heavy Metal Drummer',2002
410,Allman Brothers Band,Whipping Post',1969
409,Foo Fighters,Everlong',1997
408,Cat Stevens/Yusuf,Father and Son',1970
407,Lynyrd Skynyrd,Free Bird',1973
406,Run-DMC,Sucker MC's',1984
405,Selena,Amor Prohibido',1994
404,Kiss,Rock and Roll All Nite',1975
403,Rufus and Chaka Khan,Ain’t Nobody',1983
402,Bill Withers,Lovely Day',1977
401,Fleetwood Mac,Go Your Own Way',1977
400,David Bowie,Station to Station',1976
399,Sylvester,You Make Me Feel (Mighty Real)',1978
398,Duran Duran,Hungry Like the Wolf',1982
397,Public Enemy,Bring the Noise',1987
396,Elvis Costello,Alison',1977
395,Afrika Bambaataa and the Soulsonic Force,Planet Rock',1982
394,Jeff Buckley,Grace',1994
393,James Brown,Say It Loud (I’m Black and I’m Proud)',1968
392,Coldplay,Fix You',2005
391,Eric Church,Springsteen',2011
390,Metallica,Enter Sandman',1991
389,Pretenders,Brass in Pocket',1979
388,DMX,Party Up (Up in Here)',1999
387,New York Dolls,Personality Crisis',1973
386,The Kinks,Lola',1970
385,Diana Ross,I'm Coming Out',1980
384,"Cardi B, J Balvin, and Bad Bunny",I Like It',2018
383,Childish Gambino,Redbone',2016
382,Fiona Apple,Paper Bag',1999
381,The Slits,Typical Girls',1979
380,Fountains of Wayne,Radiation Vibe',1996
379,D’Angelo,Untitled (How Does It Feel)',2000
378,The Killers,Mr. Brightside',2003
377,The Cure,Pictures of You',1989
376,Merle Haggard,Mama Tried',1968
375,The Drifters,Up on the Roof',1964
374,William DeVaughn,Be Thankful for What You Got',1974
373,Drake,Hotline Bling',2015
372,Bonnie Raitt,I Can't Make You Love Me',1991
371,Elton John,Bennie and the Jets',1973
370,Buddy Holly,Peggy Sue',1958
369,The Cars,Just What I Needed',1978
368,Soundgarden,Black Hole Sun',1994
367,Frank Ocean,Thinkin Bout You',2012
366,The Crystals,Da Doo Ron Ron',1963
365,Sex Pistols,God Save the Queen',1977
364,The Grateful Dead,Box of Rain',1970
363,Bob Marley and the Wailers,Could You Be Loved',1980
362,Kacey Musgraves,Merry Go 'Round',2013
361,Jimmy Cliff,The Harder They Come',1972
360,Prince,Little Red Corvette',1982
359,Fugees,Killing Me Softly With His Song',1996
358,Patti Smith,Because the Night',1978
357,Taylor Swift,Blank Space',2014
356,Cheap Trick,Surrender',1978
355,Thelma Houston,Don't Leave Me This Way',1976
354,Michael Jackson,Rock With You',1979
353,Eurythmics,Sweet Dreams (Are Made of This)',1983
352,Ice Cube,It Was a Good Day',1992
351,Jorge Ben,Ponta de Lança Africano (Umbabarauma)',1976
350,John Prine,Angel From Montgomery',1971
349,The Zombies,Time of the Season',1968
348,Roxy Music,Virginia Plain',1972
347,Elvis Presley,Heartbreak Hotel',1958
346,BTS,Dynamite',2020
345,Carole King,It’s Too Late',1971
344,Black Sabbath,Iron Man',1971
343,The Doobie Brothers,What a Fool Believes',1979
342,Chuck Berry,Promised Land',1964
341,The Monkees,I'm a Believer',1966
340,The Clash,(White Man) in Hammersmith Palais',1978
339,Prince,1999',1982
338,Black Sabbath,Paranoid',1970
337,Cher,Believe',1998
336,Hall and Oates,She’s Gone',1973
335,Marshall Jefferson,Move Your Body (The House Music Anthem)',1986
334,The Grateful Dead,Ripple',1970
333,The Temptations,Papa Was a Rollin' Stone',1972
332,Rihanna feat. Jay-Z,Umbrella',2007
331,The Marvelettes,Please Mr. Postman',1961
330,The Notorious B.I.G.,Big Poppa',1994
329,Bad Bunny,Safaera',2020
328,Red Hot Chili Peppers,Under the Bridge',1991
327,Mary J. Blige,Real Love',1992
326,Rilo Kiley,Portions for Foxes',2004
325,Iggy Pop,Lust for Life',1977
324,Billy Joel,Scenes From an Italian Restaurant',1977
323,Everly Brothers,All I Have to Do Is Dream',1958
322,Neil Young,After the Gold Rush',1970
321,U2,I Still Haven’t Found What I’m Looking For',1987
320,2Pac,California Love',1995
319,Tears for Fears,Everybody Wants to Rule the World',1985
318,Big Mama Thornton,Hound Dog',1953
317,Bob Dylan,Visions of Johanna',1966
316,The Shangri-Las,Leader of the Pack',1964
315,John Coltrane,Pt. 1-Acknowledgement',1965
314,The Stooges,I Wanna Be Your Dog',1969
313,Smokey Robinson and the Miracles,The Tears of a Clown',1967
312,Isaac Hayes,Walk on By',1969
311,The Eagles,Hotel California',1976
310,The Doors,Light My Fire',1967
309,Bill Withers,Ain't No Sunshine',1971
308,Liz Phair,Divorce Song',1993
307,Gnarls Barkley,Crazy',2006
306,Aretha Franklin,Chain of Fools',1967
305,The Police,Every Breath You Take',1983
304,Kraftwerk,Trans-Europe Express',1977
303,TLC,No Scrubs',1999
302,Pink Floyd,Wish You Were Here',1975
301,Bob Seger,Night Moves',1976
300,The B-52's,Rock Lobster',1978
299,Screamin’ Jay Hawkins,I Put a Spell on You',1956
298,Bruce Springsteen,Jungleland',1975
297,Beach Boys,Wouldn’t It Be Nice',1966
296,Bikini Kill,Rebel Girl',1993
295,The Who,Won't Get Fooled Again',1971
294,The Velvet Underground,Sweet Jane',1970
293,Alice Cooper,School’s Out',1972
292,A Tribe Called Quest,Can I Kick It?',1990
291,Phil Collins,In the Air Tonight',1981
290,Usher feat. Lil Jon and Ludacris,Yeah!',2004
289,Bruce Springsteen,Atlantic City',1982
288,The Funky 4 + 1,That's the Joint',1980
287,AC/DC,You Shook Me All Night Long',1980
286,ABBA,Dancing Queen',1976
285,Destiny’s Child,Say My Name',1999
284,Leonard Cohen,Suzanne',1967
283,Ray Charles,Georgia on My Mind',1960
282,INXS,Never Tear Us Apart',1988
281,Clipse,Grindin'',2002
280,The Beatles,Penny Lane',1967
279,Radiohead,Karma Police',1997
278,Toots and the Maytals,Pressure Drop',1973
277,Bo Diddley,Bo Diddley',1955
276,Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've)',1978
275,Randy Newman,Sail Away',1972
274,Al Green,Love and Happiness',1972
273,Roberta Flack,Killing Me Softly With His Song',1973
272,Thin Lizzy,The Boys Are Back in Town',1976
271,Procol Harum,A Whiter Shade of Pale',1967
270,Nine Inch Nails,Closer',1994
269,The Righteous Brothers,Unchained Melody',1965
268,The Isley Brothers,Shout (Parts 1 and 2)',1959
267,Drake feat. Rihanna,Take Care',2011
266,Augustus Pablo,King Tubby Meets the Rockers Uptown',1974
265,The Replacements,Left of the Dial',1985
264,Marvin Gaye,Let's Get It On',1973
263,Dolly Parton,Coat of Many Colors',1971
262,Paul Simon,American Tune',1973
261,Curtis Mayfield,Pusherman',1972
260,The Wailers,"Get Up, Stand Up'",1973
259,Neil Young,Heart of Gold',1972
258,Gil-Scott Heron,The Revolution Will Not Be Televised',1971
257,Martha Reeves and the Vandellas,Heat Wave',1963
256,Metallica,Master of Puppets',1986
255,Loretta Lynn,Coal Miner’s Daughter',1970
254,The Supremes,Stop! In the Name of Love',1965
253,Willie Nelson,Blue Eyes Crying in the Rain',1975
252,Parliament,Flash Light',1977
251,Gloria Gaynor,I Will Survive',1978
250,The Jimi Hendrix Experience,Purple Haze',1967
249,Joan Jett,Bad Reputation',1980
248,N.W.A,Straight Outta Compton',1988
247,Joni Mitchell,River',1971
246,Faces,Ooh La La',1973
245,Beastie Boys,Sabotage',1994
244,Pavement,Summer Babe (Winter Version)',1992
243,The Beatles,Eleanor Rigby',1966
242,Jerry Lee Lewis,Great Balls of Fire',1957
241,Digital Underground,The Humpty Dance',1990
240,Backstreet Boys,I Want It That Way',1999
239,Big Star,September Gurls',1974
238,Aaliyah,Are You That Somebody?',1998
237,Hank Williams,Your Cheatin' Heart',1953
236,Bill Withers,Lean on Me',1972
235,New Order,Blue Monday',1983
234,The Supremes,You Keep Me Hangin’ On',1966
233,Deee-Lite,Groove Is in the Heart',1990
232,The Who,My Generation',1965
231,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me)',1987
230,The Byrds,Mr. Tambourine Man',1965
229,Woody Guthrie,This Land Is Your Land',1951
228,Beyoncé,Single Ladies (Put a Ring On It)',2008
227,Creedence Clearwater Revival,Fortunate Son',1969
226,The Smiths,There Is a Light That Never Goes Out',1986
225,Joni Mitchell,Both Sides Now',1969
224,Derek and the Dominos,Layla',1970
223,Eminem feat. Dido,Stan',2000
222,"Crosby, Stills and Nash",Suite: Judy Blue Eyes',1969
221,Ike and Tina Turner,"River Deep, Mountain High'",1966
220,New Order,Bizarre Love Triangle',1986
219,Tom Petty,Free Fallin'',1989
218,Wilson Pickett,In the Midnight Hour',1965
217,Stevie Nicks,Edge of Seventeen',1981
216,Elvis Presley,Jailhouse Rock',1957
215,Mobb Deep,"Shook Ones, Pt. II'",1995
214,Steely Dan,Deacon Blues',1977
213,The Rolling Stones,"Paint It, Black'",1966
212,Boston,More Than a Feeling',1976
211,U2,With or Without You',1987
210,Funkadelic,One Nation Under a Groove',1978
209,Don Henley,Boys of Summer',1984
208,Hole,Doll Parts',1994
207,Rage Against the Machine,Killing in the Name',1992
206,Glen Campbell,Wichita Lineman',1968
205,Britney Spears,...Baby One More Time',1998
204,David Bowie,Young Americans',1975
203,Stevie Wonder,"Signed, Sealed, Delivered I'm Yours'",1970
202,Elton John,Your Song',1970
201,Johnny Cash,Ring of Fire',1963
200,David Bowie,Changes',1971
199,Aerosmith,Dream On',1973
198,Marvin Gaye,Sexual Healing',1982
197,Ann Peebles,I Can't Stand the Rain',1973
196,James Brown,Get Up (I Feel Like Being A) Sex Machine',1970
195,Patsy Cline,Crazy',1961
194,PJ Harvey,Rid of Me',1993
193,The Rolling Stones,Wild Horses',1971
192,Geto Boys,Mind Playing Tricks on Me',1991
191,Bobbie Gentry,Ode to Billie Joe',1967
190,N.W.A,Fuck tha Police',1988
189,David Bowie,Space Oddity',1969
188,The Jimi Hendrix Experience,Little Wing',1967
187,Bob Dylan,Subterranean Homesick Blues',1965
186,The Staple Singers,I'll Take You There',1972
185,Michael Jackson,Beat It',1982
184,Sinéad O’Connor,Nothing Compares 2 U',1990
183,Stevie Wonder,You Are the Sunshine of My Life',1972
182,Simon and Garfunkel,The Sounds of Silence',1964
181,The Byrds,Eight Miles High',1966
180,Lou Reed,Walk on the Wild Side',1972
179,Pink Floyd,Comfortably Numb',1979
178,Billie Eilish,Bad Guy',2019
177,Van Halen,Jump',1983
176,The Kinks,You Really Got Me',1964
175,The Flamingos,I Only Have Eyes for You',1959
174,R.E.M.,Radio Free Europe',1983
173,Television,Marquee Moon',1977
172,Nina Simone,Mississippi Goddam',1964
171,Louis Armstrong,What a Wonderful World',1967
170,The Five Satins,In the Still of the Night',1956
169,Tom Petty and the Heartbreakers,American Girl',1976
168,Dusty Springfield,Son of a Preacher Man',1968
167,Eminem,Lose Yourself',2002
166,Mott the Hoople,All the Young Dudes',1972
165,Hank Williams,I’m So Lonesome I Could Cry',1949
164,Bob Dylan,Mr. Tambourine Man',1965
163,Fleetwood Mac,Landslide',1975
162,Nick Drake,Pink Moon',1972
161,Madonna,Into the Groove',1985
160,R.E.M.,Nightswimming',1992
159,The Who,Baba O'Riley',1971
158,The Meters,Cissy Strut',1969
157,Sonic Youth,Teenage Riot',1988
156,The Kingsmen,Louie Louie',1963
155,The Strokes,Last Nite',2001
154,Howlin’ Wolf,Spoonful',1960
153,Rick James,Super Freak',1981
152,Creedence Clearwater Revival,Proud Mary',1969
151,The Shirelles,Will You Love Me Tomorrow',1960
150,Green Day,Basket Case',1994
149,Elton John,Rocket Man',1972
148,Led Zeppelin,Kashmir',1975
147,Fats Domino,Blueberry Hill',1956
146,James Taylor,Fire and Rain',1970
145,Outkast,Ms. Jackson',2000
144,The Rolling Stones,Jumpin’ Jack Flash',1968
143,The Clash,London Calling',1980
142,George Jones,He Stopped Loving Her Today',1980
141,Rod Stewart,Maggie May',1971
140,Bob Marley and the Wailers,No Woman No Cry',1975
139,Madonna,Vogue',1990
138,Blondie,Heart of Glass',1979
137,Ariana Grande,Thank U Next',2019
136,Otis Redding,Try a Little Tenderness',1966
135,The Beatles,She Loves You',1964
134,Tina Turner,What's Love Got to Do With It',1984
133,Journey,Don’t Stop Believin’',1981
132,Eric B. and Rakim,Paid in Full',1987
131,Ben E. King,Stand by Me',1961
130,Martha and the Vandellas,Dancing in the Street',1964
129,Drake feat. Majid Jordan,Hold OnWe're Going Home',2013
128,Led Zeppelin,Whole Lotta Love',1969
127,TLC,Waterfalls',1995
126,George Michael,Freedom! '90',1990
125,Sex Pistols,Anarchy in the U.K.',1977
124,Buddy Holly,That’ll Be the Day',1957
123,Talking Heads,This Must Be the Place (Naive Melody)',1983
122,The Impressions,People Get Ready',1965
121,The Beatles,Let It Be',1970
120,X-Ray Spex,Oh Bondage! Up Yours!',1977
119,Marvin Gaye,I Heard It Through the Grapevine',1968
118,Radiohead,Creep',1992
117,Aretha Franklin,I Say a Little Prayer',1968
116,Rob Base and DJ E-Z Rock,It Takes Two',1988
115,Etta James,At Last',1960
114,Britney Spears,Toxic',2003
113,Stevie Wonder,Higher Ground',1973
112,R.E.M.,Losing My Religion',1991
111,Bruce Springsteen,Thunder Road',1975
110,The Beatles,Something',1969
109,Sly and the Family Stone,Everyday People',1968
108,The Cure,Just Like Heaven',1987
107,Wu-Tang Clan,C.R.E.A.M.',1994
106,The Rolling Stones,Sympathy for the Devil',1968
105,David Bowie,Life on Mars?',1971
104,The Jackson 5,I Want You Back',1969
103,Alanis Morissette,You Oughta Know',1995
102,Chuck Berry,Maybelline',1955
101,Yeah Yeah Yeahs,Maps',2003
100,Bob Dylan,Blowin' in the Wind',1963
99,Bee Gees,Stayin' Alive',1977
98,The Beatles,In My Life',1965
97,Patti Smith,Gloria',1975
96,Jay-Z,99 Problems',2003
95,Oasis,Wonderwall',1995
94,Whitney Houston,I Will Always Love You',1992
93,Kelly Clarkson,Since U Been Gone',2004
92,Little Richard,"Good Golly, Miss Molly'",1958
91,UGK feat. Outkast,Int'l Players Anthem (I Choose You)',2007
90,Aretha Franklin,(You Make Me Feel Like) A Natural Woman',1967
89,The Beatles,Hey Jude',1968
88,Guns N' Roses,Sweet Child O' Mine',1987
87,LCD Soundsystem,All My Friends',2007
86,The Rolling Stones,Tumbling Dice',1972
85,Prince,Kiss',1986
84,Al Green,Let's Stay Together',1971
83,Bob Dylan,Desolation Row',1965
82,Adele,Rolling in the Deep',2011
81,The Velvet Underground,I’m Waiting for the Man',1967
80,Ray Charles,What'd I Say',1957
79,Amy Winehouse,Back to Black',2006
78,The Four Tops,Reach Out (I'll Be There)',1967
77,The Modern Lovers,Roadrunner',1976
76,Johnny Cash,I Walk the Line',1956
75,Pulp,Common People',1996
74,Leonard Cohen,Hallelujah',1984
73,Beyoncé,Formation',2016
72,The Beatles,Yesterday',1965
71,Tracy Chapman,Fast Car',1988
70,Elvis Presley,Suspicious Minds',1969
69,Taylor Swift,All Too Well',2012
68,Chic,Good Times',1979
67,Bob Dylan,Tangled Up in Blue',1975
66,Simon and Garfunkel,Bridge Over Troubled Water',1970
65,"Earth, Wind, and Fire",September',1978
64,Ramones,Blitzkrieg Bop',1976
63,Dolly Parton,Jolene',1974
62,U2,One',1992
61,Led Zeppelin,Stairway to Heaven',1971
60,Kate Bush,Running Up That Hill',1985
59,Grandmaster Flash and the Furious Five,The Message',1982
58,The Band,The Weight',1968
57,Sly and the Family Stone,Family Affair',1971
56,Missy Elliott,Work It',2000
55,Madonna,Like a Prayer',1989
54,Smokey Robinson and the Miracles,The Tracks of My Tears',1965
53,The Beach Boys,Good Vibrations',1966
52,Donna Summer,I Feel Love',1977
51,Dionne Warwick,Walk on By',1964
50,Daddy Yankee,Gasolina',2010
49,Lauryn Hill,Doo Wop (That Thing)',1998
48,Radiohead,Idioteque',2000
47,Elton John,Tiny Dancer',1972
46,M.I.A.,Paper Planes',2008
45,Kendrick Lamar,Alright',2015
44,Michael Jackson,Billie Jean',1982
43,The Temptations,My Girl',1965
42,Bob Marley and the Wailers,Redemption Song',1980
41,Joy Division,Love Will Tear Us Apart',1980
40,The Jimi Hendrix Experience,All Along the Watchtower',1968
39,Outkast,B.O.B.',2000
38,Otis Redding,(Sittin' On) the Dock of the Bay',1967
37,Prince and the Revolution,When Doves Cry',1984
36,The White Stripes,Seven Nation Army',2003
35,Little Richard,Tutti-Frutti',1955
34,James Brown,Papa’s Got a Brand New Bag',1966
33,Chuck Berry,Johnny B. Goode',1958
32,Notorious B.I.G.,Juicy',1994
31,The Rolling Stones,(I Can't Get No) Satisfaction',1965
30,Lorde,Royals',2011
29,Dr. Dre feat. Snoop Doggy Dogg,Nuthin' but a 'G' Thang',1992
28,Talking Heads,Once in a Lifetime',1980
27,Bruce Springsteen,Born to Run',1975
26,Joni Mitchell,A Case of You',1971
25,Kanye West feat. Pusha T,Runaway',2010
24,The Beatles,A Day in the Life',1967
23,David Bowie,Heroes',1977
22,The Ronettes,Be My Baby',1963
21,Billie Holiday,Strange Fruit',1939
20,Robyn,Dancing on My Own',2010
19,John Lennon,Imagine',1971
18,Prince and the Revolution,Purple Rain',1984
17,Queen,Bohemian Rhapsody',1975
16,Beyoncé feat. Jay-Z,Crazy in Love',2003
15,The Beatles,I Want to Hold Your Hand',1963
14,The Kinks,Waterloo Sunset',1967
13,The Rolling Stones,Gimme Shelter',1969
12,Stevie Wonder,Superstition',1972
11,The Beach Boys,God Only Knows',1966
10,Outkast,Hey Ya!',2003
9,Fleetwood Mac,Dreams',1977
8,Missy Elliott,Get Ur Freak On',2001
7,The Beatles,Strawberry Fields Forever',1967
6,Marvin Gaye,What’s Going On',1971
5,Nirvana,Smells Like Teen Spirit',1991
4,Bob Dylan,Like a Rolling Stone',1965
3,Sam Cooke,A Change Is Gonna Come',1964
2,Public Enemy,Fight the Power',1989
1,Aretha Franklin,Respect',1967